fueltype,mon,jd,M,jd_min,lat,lon,elev,ffmc,ws,waz,bui,ps,saz,pc,pdf,gfl,cur,time,pattern
O1b,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,897.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
C2,,,,,51.621244,-115.608378,900.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,903.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,903.0,,,,,0.0,0.0,,,0.8,,20,
C2,,,,,51.621244,-115.608378,903.0,,,,,0.0,0.0,,,0.8,,20,
O1b,,,,,51.621244,-115.608378,903.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,903.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,900.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,900.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,897.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,897.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,894.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,891.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,0.35,60.0,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,888.0,,,,,0.0,0.0,,,,,20,
NF,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,,,20,
O1b,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,0.35,60.0,20,
O1b,,,,,51.621244,-115.608378,885.0,,,,,0.0,0.0,,,0.35,60.0,20,
