Scenario,datetime,APCP,TMP,RH,WS,WD,FFMC,DMC,DC,ISI,BUI,FWI
S1,2024-06-14 12:00:00,0.0,21.9,48.5,9.5,295.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 13:00:00,0.0,21.4,48.7,11.9,268.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 14:00:00,0.0,21.8,47.0,15.2,256.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 15:00:00,0.0,20.6,55.0,13.2,244.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 16:00:00,0.0,19.3,66.0,10.3,245.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 17:00:00,0.0,19.2,68.0,10.0,249.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 18:00:00,0.0,17.5,73.9,9.3,234.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 19:00:00,0.0,15.5,76.8,7.4,219.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 20:00:00,0.0,14.3,78.7,6.4,207.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 21:00:00,0.0,13.2,81.8,6.3,211.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 22:00:00,0.0,12.2,85.0,6.7,216.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-14 23:00:00,0.0,11.6,87.5,5.7,215.0,88.0,72.7,257.6,5.9,85.3,20.1
S1,2024-06-15 00:00:00,0.0,11.1,89.3,4.8,207.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 01:00:00,0.0,11.2,89.9,4.5,209.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 02:00:00,0.0,10.9,91.7,3.9,214.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 03:00:00,0.0,10.5,93.5,4.2,239.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 04:00:00,0.0,11.2,92.0,3.6,225.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 05:00:00,0.0,13.2,88.3,3.6,264.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 06:00:00,0.0,15.9,82.1,2.8,310.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 07:00:00,0.0,18.3,75.8,5.4,278.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 08:00:00,0.0,20.6,65.7,13.8,255.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 09:00:00,0.0,21.4,61.5,14.9,255.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 10:00:00,0.0,22.1,59.1,17.8,249.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 11:00:00,0.0,22.7,57.2,17.8,252.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 12:00:00,0.0,23.3,55.2,16.9,254.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 13:00:00,0.0,23.8,50.3,17.6,247.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 14:00:00,0.0,23.7,51.3,16.9,246.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 15:00:00,0.0,22.6,61.2,18.2,232.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 16:00:00,0.0,21.6,66.5,14.7,234.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 17:00:00,0.0,20.7,71.4,9.7,255.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 18:00:00,0.0,19.2,78.4,8.1,257.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 19:00:00,0.0,17.3,83.6,8.3,252.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 20:00:00,0.0,16.3,86.0,6.5,236.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 21:00:00,0.0,15.4,89.3,6.6,221.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 22:00:00,0.0,15.0,90.5,6.1,225.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-15 23:00:00,0.0,14.3,91.3,6.7,234.0,88.0,75.6,265.6,7.8,88.3,25.0
S1,2024-06-16 00:00:00,0.0,14.1,91.9,4.4,261.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 01:00:00,0.0,14.6,91.6,5.5,238.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 02:00:00,0.3,14.3,93.7,2.3,141.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 03:00:00,0.0,13.8,94.0,3.1,201.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 04:00:00,0.0,14.3,91.6,1.8,217.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 05:00:00,0.0,15.3,94.4,1.4,180.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 06:00:00,0.0,17.3,87.5,0.8,207.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 07:00:00,0.0,19.2,80.9,2.4,333.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 08:00:00,0.0,20.7,74.2,3.3,283.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 09:00:00,0.0,22.1,69.4,2.5,352.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 10:00:00,0.1,23.4,66.0,0.8,333.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 11:00:00,0.0,24.1,53.6,7.4,241.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 12:00:00,0.1,24.9,51.6,11.2,237.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 13:00:00,0.4,23.6,59.5,11.2,230.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 14:00:00,0.0,24.4,58.2,5.9,232.0,87.9,77.9,273.6,5.6,91.0,20.1
S1,2024-06-16 15:00:00,0.1,23.8,56.5,8.6,248.0,87.9,77.9,273.6,5.6,91.0,20.1
