ID,Hour,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
1,1,19999,1,0,1.000,0.000,0.000
1,2,19999,1,0,1.000,0.000,0.000
1,3,19998,2,0,1.000,0.000,0.000
1,4,19996,4,0,1.000,0.000,0.000
1,5,19994,6,0,1.000,0.000,0.000
1,6,19988,12,0,0.999,0.001,0.000
1,7,19975,25,0,0.999,0.001,0.000
1,8,19946,54,0,0.997,0.003,0.000
1,9,19925,75,0,0.996,0.004,0.000
1,10,19900,100,0,0.995,0.005,0.000
1,11,19869,131,0,0.993,0.007,0.000
1,12,19842,158,0,0.992,0.008,0.000
1,13,19800,200,0,0.990,0.010,0.000
1,14,19751,249,0,0.988,0.012,0.000
1,15,19706,294,0,0.985,0.015,0.000
1,16,19646,354,0,0.982,0.018,0.000
1,17,19580,420,0,0.979,0.021,0.000
1,18,19505,495,0,0.975,0.025,0.000
1,19,19414,586,0,0.971,0.029,0.000
1,20,19314,686,0,0.966,0.034,0.000
1,21,19217,783,0,0.961,0.039,0.000
1,22,19119,881,0,0.956,0.044,0.000
1,23,19007,993,0,0.950,0.050,0.000
1,24,18880,1120,0,0.944,0.056,0.000
1,25,18748,1252,0,0.937,0.063,0.000
1,26,18606,1394,0,0.930,0.070,0.000
1,27,18450,1550,0,0.922,0.077,0.000
1,28,18323,1677,0,0.916,0.084,0.000
