Hour,AVGNonBurned,AVGBurned,AVGHarvested,STDBurned,STDHarvested,MaxNonBurned,MaxBurned,MinNonBurned,MinBurned,%AVGNonBurned,%AVGBurned,%AVGHarvested
1,19999.000,1.000,0.000,,,19999,1,19999,1,1.000,0.000,0.000
2,19999.000,1.000,0.000,,,19999,1,19999,1,1.000,0.000,0.000
3,19998.000,2.000,0.000,,,19998,2,19998,2,1.000,0.000,0.000
4,19996.000,4.000,0.000,,,19996,4,19996,4,1.000,0.000,0.000
5,19994.000,6.000,0.000,,,19994,6,19994,6,1.000,0.000,0.000
6,19988.000,12.000,0.000,,,19988,12,19988,12,0.999,0.001,0.000
7,19975.000,25.000,0.000,,,19975,25,19975,25,0.999,0.001,0.000
8,19946.000,54.000,0.000,,,19946,54,19946,54,0.997,0.003,0.000
9,19925.000,75.000,0.000,,,19925,75,19925,75,0.996,0.004,0.000
10,19901.000,99.000,0.000,,,19901,99,19901,99,0.995,0.005,0.000
